2020-11-26 04:14:44.030 [main] INFO  com.aiolos.news.ArticleApplication - The following profiles are active: dev
2020-11-26 04:14:44.645 [main] WARN  t.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.aiolos.news.dao]' package. Please check your configuration.
2020-11-26 04:14:44.808 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-11-26 04:14:44.810 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-11-26 04:14:44.838 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 16ms. Found 0 Redis repository interfaces.
2020-11-26 04:14:44.938 [main] WARN  t.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.aiolos.news]' package. Please check your configuration.
2020-11-26 04:14:44.982 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.aiolos.news.dao]' package. Please check your configuration.
2020-11-26 04:14:45.064 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=21f760b1-5986-3185-a097-ac7f6d454c67
2020-11-26 04:14:45.645 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2020-11-26 04:14:45.657 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2020-11-26 04:14:45.657 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2020-11-26 04:14:45.657 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.31]
2020-11-26 04:14:45.763 [main] INFO  o.a.c.c.C.[.[.[/news/article] - Initializing Spring embedded WebApplicationContext
2020-11-26 04:14:45.763 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1713 ms
2020-11-26 04:14:45.845 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-11-26 04:14:45.950 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-11-26 04:14:51.756 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-11-26 04:14:51.807 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-11-26 04:14:51.807 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-11-26 04:14:51.811 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-11-26 04:14:51.811 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-11-26 04:14:51.951 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-11-26 04:15:13.428 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-11-26 04:15:13.527 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear tk.mybatis.mapper.util.MsUtil CLASS_CACHE cache.
2020-11-26 04:15:13.528 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear tk.mybatis.mapper.genid.GenIdUtil CACHE cache.
2020-11-26 04:15:13.528 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear tk.mybatis.mapper.version.VersionUtil CACHE cache.
2020-11-26 04:15:13.529 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear EntityHelper entityTableMap cache.
2020-11-26 04:15:13.598 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
2020-11-26 04:15:13.612 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-11-26 04:15:13.651 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
2020-11-26 04:15:13.675 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8001"]
2020-11-26 04:15:13.709 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8001 (http) with context path '/news/article'
2020-11-26 04:15:13.713 [main] INFO  com.aiolos.news.ArticleApplication - Started ArticleApplication in 50.637 seconds (JVM running for 56.418)
2020-11-26 04:23:29.907 [http-nio-8001-exec-3] INFO  o.a.c.c.C.[.[.[/news/article] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-11-26 04:23:29.911 [http-nio-8001-exec-3] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-11-26 04:23:29.943 [http-nio-8001-exec-3] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 31 ms
2020-11-26 04:23:30.016 [http-nio-8001-exec-4] WARN  o.s.web.servlet.PageNotFound - No mapping for POST /news/article/queryMyList
2020-11-26 04:23:30.028 [http-nio-8001-exec-4] INFO  c.a.n.c.advice.GlobalExceptionAdvice - No handler found for POST /news/article/queryMyList
2020-11-26 04:44:01.678 [http-nio-8001-exec-9] WARN  o.s.web.servlet.PageNotFound - No mapping for POST /news/article/queryMyList
2020-11-26 04:44:01.684 [http-nio-8001-exec-9] INFO  c.a.n.c.advice.GlobalExceptionAdvice - No handler found for POST /news/article/queryMyList
2020-11-26 04:45:04.266 [http-nio-8001-exec-6] WARN  o.s.web.servlet.PageNotFound - No mapping for POST /news/article/queryMyList
2020-11-26 04:45:04.267 [http-nio-8001-exec-6] INFO  c.a.n.c.advice.GlobalExceptionAdvice - No handler found for POST /news/article/queryMyList
2020-11-26 04:50:14.340 [http-nio-8001-exec-3] WARN  o.s.web.servlet.PageNotFound - No mapping for POST /news/article/queryMyList
2020-11-26 04:50:14.347 [http-nio-8001-exec-3] INFO  c.a.n.c.advice.GlobalExceptionAdvice - No handler found for POST /news/article/queryMyList
2020-11-26 08:54:02.849 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-11-26 08:54:03.836 [SpringContextShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-11-26 21:27:03.414 [main] INFO  com.aiolos.news.ArticleApplication - The following profiles are active: dev
2020-11-26 21:27:04.307 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-11-26 21:27:04.310 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-11-26 21:27:04.348 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 20ms. Found 0 Redis repository interfaces.
2020-11-26 21:27:04.506 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'articleDao' and 'com.aiolos.news.dao.ArticleDao' mapperInterface. Bean already defined with the same name!
2020-11-26 21:27:04.507 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'commentsDao' and 'com.aiolos.news.dao.CommentsDao' mapperInterface. Bean already defined with the same name!
2020-11-26 21:27:04.507 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.aiolos.news.dao]' package. Please check your configuration.
2020-11-26 21:27:04.612 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=89ff2177-cc7e-3213-8a73-43fa88c0c50e
2020-11-26 21:27:05.358 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2020-11-26 21:27:05.373 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2020-11-26 21:27:05.374 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2020-11-26 21:27:05.374 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.31]
2020-11-26 21:27:05.504 [main] INFO  o.a.c.c.C.[.[.[/news/article] - Initializing Spring embedded WebApplicationContext
2020-11-26 21:27:05.504 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2069 ms
2020-11-26 21:27:05.611 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-11-26 21:27:05.746 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-11-26 21:27:31.920 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-11-26 21:27:31.971 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-11-26 21:27:31.972 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-11-26 21:27:31.975 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-11-26 21:27:31.975 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-11-26 21:27:32.139 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-11-26 21:27:32.717 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear tk.mybatis.mapper.util.MsUtil CLASS_CACHE cache.
2020-11-26 21:27:32.718 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear tk.mybatis.mapper.genid.GenIdUtil CACHE cache.
2020-11-26 21:27:32.719 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear tk.mybatis.mapper.version.VersionUtil CACHE cache.
2020-11-26 21:27:32.721 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear EntityHelper entityTableMap cache.
2020-11-26 21:27:32.811 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
2020-11-26 21:27:32.832 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-11-26 21:27:32.890 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
